Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 2303.32it/s]
HFLensModel(GPT2LMHeadModel, n_layers=12, d_model=768)
[     4s +  4.46s] fit: n_layers=12 d_model=768, fitting 11 source layers (target=L11) on 150 prompts
[    12s +  8.32s]   prompt 1/150  seq_len=128 n_valid=111  8s  max||J||/sqrt(d)=1.709  max_d_mean=nan
[    22s +  9.99s]   prompt 2/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.675  max_d_mean=3.00e-01
[    33s + 10.70s]   prompt 3/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.711  max_d_mean=1.94e-01
[    53s + 19.60s]   prompt 4/150  seq_len=128 n_valid=111  20s  max||J||/sqrt(d)=1.773  max_d_mean=1.94e-01
[  1m03s + 10.80s]   prompt 5/150  seq_len=111 n_valid=94  11s  max||J||/sqrt(d)=1.751  max_d_mean=1.68e-01
[  1m16s + 12.60s]   prompt 6/150  seq_len=79 n_valid=62  13s  max||J||/sqrt(d)=1.629  max_d_mean=1.11e-01
[  1m25s +  9.40s]   prompt 7/150  seq_len=128 n_valid=111  9s  max||J||/sqrt(d)=1.718  max_d_mean=1.17e-01
[  1m36s + 10.50s]   prompt 8/150  seq_len=122 n_valid=105  10s  max||J||/sqrt(d)=1.684  max_d_mean=8.38e-02
[  1m43s +  7.50s]   prompt 9/150  seq_len=128 n_valid=111  7s  max||J||/sqrt(d)=1.721  max_d_mean=8.33e-02
[  1m53s + 10.00s]   prompt 10/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.746  max_d_mean=8.01e-02
[  2m05s + 11.40s]   prompt 11/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.739  max_d_mean=8.63e-02
W0816 20:34:02.566000 10198 torch/_dynamo/convert_frame.py:1016] [0/8] torch._dynamo hit config.recompile_limit (8)
W0816 20:34:02.566000 10198 torch/_dynamo/convert_frame.py:1016] [0/8]    function: '__call__' (/usr/local/lib/python3.12/dist-packages/transformers/modeling_layers.py:79)
W0816 20:34:02.566000 10198 torch/_dynamo/convert_frame.py:1016] [0/8]    last reason: 0/1: tensor 'args[0]' requires_grad mismatch. expected requires_grad=1
W0816 20:34:02.566000 10198 torch/_dynamo/convert_frame.py:1016] [0/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
W0816 20:34:02.566000 10198 torch/_dynamo/convert_frame.py:1016] [0/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/torch.compiler_troubleshooting.html.
[  2m17s + 11.80s]   prompt 12/150  seq_len=117 n_valid=100  12s  max||J||/sqrt(d)=1.700  max_d_mean=6.40e-02
[  2m28s + 11.70s]   prompt 13/150  seq_len=73 n_valid=56  12s  max||J||/sqrt(d)=1.702  max_d_mean=7.74e-02
[  2m40s + 11.40s]   prompt 14/150  seq_len=71 n_valid=54  11s  max||J||/sqrt(d)=1.534  max_d_mean=5.57e-02
[  2m52s + 11.90s]   prompt 15/150  seq_len=90 n_valid=73  12s  max||J||/sqrt(d)=1.656  max_d_mean=5.24e-02
[  3m03s + 11.40s]   prompt 16/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.759  max_d_mean=6.26e-02
[  3m14s + 10.80s]   prompt 17/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.723  max_d_mean=4.48e-02
[  3m26s + 12.00s]   prompt 18/150  seq_len=128 n_valid=111  12s  max||J||/sqrt(d)=1.660  max_d_mean=4.32e-02
[  3m37s + 11.10s]   prompt 19/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.733  max_d_mean=4.05e-02
[  3m47s + 10.60s]   prompt 20/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.691  max_d_mean=3.46e-02
[  3m58s + 10.49s]   prompt 21/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.685  max_d_mean=3.05e-02
[  4m09s + 11.30s]   prompt 22/150  seq_len=114 n_valid=97  11s  max||J||/sqrt(d)=1.772  max_d_mean=3.80e-02
[  4m17s +  7.30s]   prompt 23/150  seq_len=128 n_valid=111  7s  max||J||/sqrt(d)=1.754  max_d_mean=3.66e-02
[  4m28s + 11.00s]   prompt 24/150  seq_len=85 n_valid=68  11s  max||J||/sqrt(d)=1.645  max_d_mean=3.48e-02
[  4m39s + 11.10s]   prompt 25/150  seq_len=127 n_valid=110  11s  max||J||/sqrt(d)=1.744  max_d_mean=3.27e-02
[  4m50s + 11.10s]   prompt 26/150  seq_len=118 n_valid=101  11s  max||J||/sqrt(d)=1.715  max_d_mean=3.11e-02
[  5m00s + 10.01s]   prompt 27/150  seq_len=113 n_valid=96  10s  max||J||/sqrt(d)=1.704  max_d_mean=2.28e-02
[  5m11s + 10.99s]   prompt 28/150  seq_len=42 n_valid=25  11s  max||J||/sqrt(d)=1.500  max_d_mean=4.03e-02
[  5m23s + 12.10s]   prompt 29/150  seq_len=128 n_valid=111  12s  max||J||/sqrt(d)=1.706  max_d_mean=2.67e-02
[  5m33s + 10.40s]   prompt 30/150  seq_len=66 n_valid=49  10s  max||J||/sqrt(d)=1.652  max_d_mean=2.76e-02
[  5m45s + 11.30s]   prompt 31/150  seq_len=81 n_valid=64  11s  max||J||/sqrt(d)=1.768  max_d_mean=4.58e-02
[  5m56s + 11.00s]   prompt 32/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.821  max_d_mean=3.58e-02
[  6m06s + 10.50s]   prompt 33/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=2.269  max_d_mean=4.85e-02
[  6m16s +  9.60s]   prompt 34/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=2.169  max_d_mean=4.48e-02
[  6m25s +  9.80s]   prompt 35/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.931  max_d_mean=3.18e-02
[  6m33s +  7.31s]   prompt 36/150  seq_len=128 n_valid=111  7s  max||J||/sqrt(d)=1.733  max_d_mean=2.49e-02
[  6m39s +  6.59s]   prompt 37/150  seq_len=69 n_valid=52  7s  max||J||/sqrt(d)=1.630  max_d_mean=2.82e-02
[  6m46s +  6.50s]   prompt 38/150  seq_len=118 n_valid=101  7s  max||J||/sqrt(d)=1.733  max_d_mean=2.45e-02
[  6m54s +  8.10s]   prompt 39/150  seq_len=66 n_valid=49  8s  max||J||/sqrt(d)=1.802  max_d_mean=3.26e-02
[  7m01s +  7.50s]   prompt 40/150  seq_len=128 n_valid=111  7s  max||J||/sqrt(d)=1.738  max_d_mean=2.20e-02
[  7m10s +  8.90s]   prompt 41/150  seq_len=83 n_valid=66  9s  max||J||/sqrt(d)=1.684  max_d_mean=2.22e-02
[  7m21s + 10.20s]   prompt 42/150  seq_len=85 n_valid=68  10s  max||J||/sqrt(d)=1.661  max_d_mean=1.96e-02
[  7m31s + 10.80s]   prompt 43/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.664  max_d_mean=2.03e-02
[  7m42s + 10.70s]   prompt 44/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.714  max_d_mean=2.03e-02
[  7m52s + 10.21s]   prompt 45/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.746  max_d_mean=1.93e-02
[  8m03s + 10.39s]   prompt 46/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.713  max_d_mean=1.74e-02
[  8m09s +  6.41s]   prompt 47/150  seq_len=116 n_valid=99  6s  max||J||/sqrt(d)=1.650  max_d_mean=1.63e-02
[  8m17s +  8.00s]   prompt 48/150  seq_len=92 n_valid=75  8s  max||J||/sqrt(d)=1.610  max_d_mean=1.65e-02
[  8m27s + 10.39s]   prompt 49/150  seq_len=60 n_valid=43  10s  max||J||/sqrt(d)=1.533  max_d_mean=1.73e-02
[  8m38s + 10.90s]   prompt 50/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.801  max_d_mean=1.76e-02
[  8m46s +  7.40s]   prompt 51/150  seq_len=113 n_valid=96  7s  max||J||/sqrt(d)=1.681  max_d_mean=1.60e-02
[  8m56s + 10.60s]   prompt 52/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.716  max_d_mean=1.57e-02
[  9m06s +  9.50s]   prompt 53/150  seq_len=128 n_valid=111  9s  max||J||/sqrt(d)=1.724  max_d_mean=1.64e-02
[  9m12s +  6.00s]   prompt 54/150  seq_len=70 n_valid=53  6s  max||J||/sqrt(d)=1.752  max_d_mean=1.81e-02
[  9m22s + 10.00s]   prompt 55/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.758  max_d_mean=1.55e-02
[  9m30s +  8.10s]   prompt 56/150  seq_len=128 n_valid=111  8s  max||J||/sqrt(d)=1.730  max_d_mean=1.44e-02
[  9m40s + 10.00s]   prompt 57/150  seq_len=80 n_valid=63  10s  max||J||/sqrt(d)=1.759  max_d_mean=1.66e-02
[  9m50s + 10.20s]   prompt 58/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.870  max_d_mean=1.58e-02
[ 10m01s + 11.11s]   prompt 59/150  seq_len=119 n_valid=102  11s  max||J||/sqrt(d)=1.802  max_d_mean=1.50e-02
