Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 2263.08it/s]
HFLensModel(GPT2LMHeadModel, n_layers=12, d_model=768)
[     4s +  4.68s] fit: n_layers=12 d_model=768, fitting 11 source layers (target=L11) on 150 prompts
[    16s + 12.02s]   prompt 1/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.735  max_d_mean=nan
[    28s + 11.40s]   prompt 2/150  seq_len=106 n_valid=89  11s  max||J||/sqrt(d)=1.635  max_d_mean=3.45e-01
[    39s + 11.51s]   prompt 3/150  seq_len=111 n_valid=94  12s  max||J||/sqrt(d)=1.673  max_d_mean=2.51e-01
[    51s + 11.50s]   prompt 4/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.902  max_d_mean=2.28e-01
[  1m02s + 11.70s]   prompt 5/150  seq_len=128 n_valid=111  12s  max||J||/sqrt(d)=2.088  max_d_mean=2.11e-01
[  1m15s + 13.11s]   prompt 6/150  seq_len=90 n_valid=73  13s  max||J||/sqrt(d)=1.713  max_d_mean=1.20e-01
[  1m27s + 11.09s]   prompt 7/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.681  max_d_mean=1.03e-01
[  1m37s + 10.80s]   prompt 8/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.694  max_d_mean=1.05e-01
[  1m47s + 10.10s]   prompt 9/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.851  max_d_mean=1.00e-01
[  1m58s + 10.89s]   prompt 10/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.696  max_d_mean=6.07e-02
[  2m08s +  9.90s]   prompt 11/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.783  max_d_mean=6.17e-02
[  2m18s +  9.60s]   prompt 12/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.692  max_d_mean=5.79e-02
[  2m24s +  6.30s]   prompt 13/150  seq_len=128 n_valid=111  6s  max||J||/sqrt(d)=1.665  max_d_mean=4.61e-02
W0816 20:02:50.171000 3711 torch/_dynamo/convert_frame.py:1016] [0/8] torch._dynamo hit config.recompile_limit (8)
W0816 20:02:50.171000 3711 torch/_dynamo/convert_frame.py:1016] [0/8]    function: '__call__' (/usr/local/lib/python3.12/dist-packages/transformers/modeling_layers.py:79)
W0816 20:02:50.171000 3711 torch/_dynamo/convert_frame.py:1016] [0/8]    last reason: 0/1: tensor 'args[0]' requires_grad mismatch. expected requires_grad=1
W0816 20:02:50.171000 3711 torch/_dynamo/convert_frame.py:1016] [0/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
W0816 20:02:50.171000 3711 torch/_dynamo/convert_frame.py:1016] [0/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/torch.compiler_troubleshooting.html.
[  2m32s +  8.40s]   prompt 14/150  seq_len=99 n_valid=82  8s  max||J||/sqrt(d)=1.686  max_d_mean=4.35e-02
[  2m41s +  8.90s]   prompt 15/150  seq_len=77 n_valid=60  9s  max||J||/sqrt(d)=1.730  max_d_mean=6.02e-02
[  2m50s +  8.70s]   prompt 16/150  seq_len=128 n_valid=111  9s  max||J||/sqrt(d)=1.712  max_d_mean=3.88e-02
[  3m01s + 11.10s]   prompt 17/150  seq_len=128 n_valid=111  11s  max||J||/sqrt(d)=1.880  max_d_mean=4.11e-02
[  3m11s + 10.10s]   prompt 18/150  seq_len=104 n_valid=87  10s  max||J||/sqrt(d)=1.690  max_d_mean=3.45e-02
[  3m22s + 10.90s]   prompt 19/150  seq_len=80 n_valid=63  11s  max||J||/sqrt(d)=1.660  max_d_mean=4.48e-02
[  3m33s + 10.40s]   prompt 20/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.731  max_d_mean=3.33e-02
[  3m42s +  9.30s]   prompt 21/150  seq_len=128 n_valid=111  9s  max||J||/sqrt(d)=1.698  max_d_mean=2.90e-02
[  3m52s +  9.80s]   prompt 22/150  seq_len=128 n_valid=111  10s  max||J||/sqrt(d)=1.735  max_d_mean=3.36e-02
[  4m03s + 11.10s]   prompt 23/150  seq_len=111 n_valid=94  11s  max||J||/sqrt(d)=1.684  max_d_mean=3.49e-02
